name,coordinates
path 1,"[(114.165985613573, 22.3180280834786, 0.0), (114.166170784844, 22.3180004849569, 110.0), (114.166170784844, 22.3178164948119, 110.0), (114.16616152628, 22.3178072953047, 110.0), (114.165559719652, 22.3173105219132, 115.0), (114.164185152632, 22.3170379926087, 115.0), (114.164166635505, 22.3170287931015, 115.0), (114.163935171417, 22.3168724014782, 110.0), (114.163750000147, 22.3169, 0.0)]"
path 2,"[(114.162559945072, 22.3158202017388, 0.0), (114.162803551381, 22.3157926032171, 110.0), (114.163072049723, 22.3179360884061, 110.0), (114.163081308287, 22.3179452879134, 110.0), (114.164541277665, 22.3185984529281, 110.0), (114.164920878769, 22.3187548445513, 105.0), (114.164930137332, 22.3187640440586, 105.0), (114.165041240095, 22.319297615479, 100.0), (114.165198635674, 22.320033576059, 115.0), (114.165309738437, 22.3202175662039, 115.0), (114.165328255564, 22.3203739578272, 115.0), (114.16529122131, 22.3204107558562, 115.0), (114.164226486505, 22.3214135021463, 110.0), (114.164041315235, 22.3214503001753, 110.0), (114.163856143964, 22.3214778986971, 0.0)]"
path 3,"[(114.165985613573, 22.3180280834786, 0.0), (114.166115233463, 22.3181292780584, 110.0), (114.166031906391, 22.3182856696816, 110.0), (114.166022647827, 22.3182948691889, 110.0), (114.165189377111, 22.3187824430731, 110.0), (114.164967171586, 22.3194724061168, 110.0), (114.164782000316, 22.3195000046385, 0.0)]"
path 4,"[(114.162559945072, 22.3158202017388, 0.0), (114.162748, 22.3159213963186, 110.0), (114.162997981215, 22.3179268888989, 100.0), (114.163007239778, 22.3179360884061, 100.0), (114.164022798108, 22.3180740810149, 110.0), (114.165902286502, 22.3182856696816, 110.0), (114.165948579319, 22.3182856696816, 110.0), (114.165985613573, 22.3181844751019, 110.0), (114.165985613573, 22.3180280834786, 0.0)]"
path 5,"[(114.170399552792, 22.3183900686961, 0.0), (114.170584724062, 22.3183624701744, 110.0), (114.169612574893, 22.3184268667251, 105.0), (114.169603316329, 22.3184360662324, 105.0), (114.169304973788, 22.3197051942907, 105.0), (114.169064251137, 22.3205791474794, 105.0), (114.169054992573, 22.3206159455084, 105.0), (114.168980924065, 22.3207263395954, 105.0), (114.168971665502, 22.3207355391026, 105.0), (114.167809550586, 22.3207051400881, 110.0), (114.167652155007, 22.3210363223491, 110.0), (114.167466983736, 22.3210639208709, 0.0)]"
path 6,"[(114.162559945072, 22.3158202017388, 0.0), (114.162559945072, 22.3159765933621, 110.0), (114.162794292818, 22.3161789825215, 100.0), (114.163146256761, 22.316893937631, 115.0), (114.163164346813, 22.3169056025836, 115.0), (114.163879620036, 22.3170011945797, 110.0), (114.163750000147, 22.3169, 0.0)]"
path 7,"[(114.164782000316, 22.3195000046385, 0.0), (114.164911620205, 22.3196011992182, 110.0), (114.165198635674, 22.31999677803, 105.0), (114.165226411365, 22.3200243765517, 110.0), (114.165235669928, 22.320033576059, 110.0), (114.167559569371, 22.3206499430446, 110.0), (114.167568827935, 22.3206591425519, 110.0), (114.167596603625, 22.3211651154506, 110.0), (114.167466983736, 22.3210639208709, 0.0)]"
path 8,"[(114.170399552792, 22.3183900686961, 0.0), (114.170529172681, 22.3184912632758, 110.0), (114.170205122958, 22.3185096622903, 110.0), (114.169594057766, 22.3185280613048, 115.0), (114.169584799202, 22.3185372608121, 115.0), (114.169538506384, 22.3186108568701, 115.0), (114.169124266606, 22.3190308297688, 100.0), (114.169115008042, 22.319040029276, 100.0), (114.16847616716, 22.3190860268123, 100.0), (114.168392840088, 22.3190676277978, 100.0), (114.166513351694, 22.3186352509571, 100.0), (114.166494834567, 22.3186260514498, 100.0), (114.166494834567, 22.3186260514498, 100.0), (114.165883769375, 22.3184880588411, 105.0), (114.165726373795, 22.3184512608121, 100.0), (114.163781844199, 22.3180464824931, 100.0), (114.163772585635, 22.3180372829859, 100.0), (114.16368, 22.3176819581162, 105.0), (114.163717034254, 22.3170563916232, 110.0), (114.163750000147, 22.3169, 0.0)]"
path 9,"[(114.164782000316, 22.3195000046385, 0.0), (114.164782000316, 22.3196563962617, 110.0), (114.164670897554, 22.3187456450441, 100.0), (114.16466163899, 22.3187364455368, 100.0), (114.164383882085, 22.3185156573628, 90.0), (114.163707775691, 22.3180648815076, 100.0), (114.16368, 22.3180372829859, 100.0), (114.163633707182, 22.3176451600872, 105.0), (114.163587414365, 22.3170011945797, 110.0), (114.163750000147, 22.3169, 0.0)]"
path 10,"[(114.170399552792, 22.3183900686961, 0.0), (114.170399552792, 22.3185464603193, 110.0), (114.169575540638, 22.3186200563773, 115.0), (114.169566282075, 22.3186292558846, 115.0), (114.169388134068, 22.3188159536395, 115.0), (114.169124266606, 22.3190308297688, 115.0), (114.169115008042, 22.319040029276, 115.0), (114.16847616716, 22.3190860268123, 115.0), (114.167837326277, 22.3189388346963, 115.0), (114.166494834567, 22.3186260514498, 115.0), (114.165883769375, 22.3182948691889, 100.0), (114.165865252248, 22.3182764701744, 100.0), (114.165855993684, 22.3181292780584, 110.0), (114.165985613573, 22.3180280834786, 0.0)]"
path 11,"[(114.165985613573, 22.3180280834786, 0.0), (114.165800442303, 22.3180004849569, 110.0), (114.165791183739, 22.3182672706671, 100.0), (114.165994872137, 22.3186720489861, 95.0), (114.166078199209, 22.3188468396238, 100.0), (114.166152267717, 22.3202083666967, 105.0), (114.16616152628, 22.3202175662039, 105.0), (114.167291071029, 22.3205763469867, 100.0), (114.167420690919, 22.3206223445229, 100.0), (114.167429949482, 22.3206315440301, 100.0), (114.167466983736, 22.3212203124941, 110.0), (114.167466983736, 22.3210639208709, 0.0)]"
path 12,"[(114.162559945072, 22.3158202017388, 0.0), (114.162430325182, 22.3159213963186, 110.0), (114.16263401358, 22.3178900908699, 110.0), (114.162643272143, 22.3178992903771, 110.0), (114.164541277665, 22.3187272460296, 110.0), (114.164550536228, 22.3187364455368, 110.0), (114.164652380427, 22.3196011992182, 110.0), (114.164782000316, 22.3195000046385, 0.0)]"
path 13,"[(114.167466983736, 22.3210639208709, 0.0), (114.167337363847, 22.3211651154506, 110.0), (114.167291071029, 22.3206039455084, 100.0), (114.167281812466, 22.3205947460012, 100.0), (114.166615195893, 22.3204659528997, 100.0), (114.166467058876, 22.3204291548707, 105.0), (114.166059682081, 22.3203279602909, 105.0), (114.165244928492, 22.3200887731024, 100.0), (114.165226411365, 22.320070374088, 90.0), (114.165198635674, 22.3200243765517, 90.0), (114.164948654459, 22.3187640440586, 90.0), (114.164115383743, 22.3182488716526, 90.0), (114.163707775691, 22.3180372829859, 90.0), (114.163698517127, 22.3180280834786, 90.0), (114.163615190055, 22.3175347660002, 95.0), (114.163541121547, 22.3169551970435, 100.0), (114.163531862984, 22.3168724014782, 110.0), (114.163750000147, 22.3169, 0.0)]"
path 14,"[(114.162559945072, 22.3158202017388, 0.0), (114.162374773801, 22.3157926032171, 110.0), (114.16263401358, 22.3178900908699, 95.0), (114.162643272143, 22.3178992903771, 95.0), (114.164467209156, 22.3185524553918, 100.0), (114.164837551697, 22.3186904480006, 100.0), (114.165050498658, 22.3187640440586, 100.0), (114.165059757222, 22.3187732435658, 100.0), (114.165226411365, 22.3200243765517, 100.0), (114.165235669928, 22.320033576059, 100.0), (114.165244928492, 22.320033576059, 100.0), (114.165328255564, 22.320070374088, 90.0), (114.165467134016, 22.3201163716242, 95.0), (114.166837401417, 22.3204843519142, 105.0), (114.167022572687, 22.3205303494504, 110.0), (114.167179968267, 22.3205763469867, 110.0), (114.167235519648, 22.3205855464939, 110.0), (114.167244778212, 22.3205947460012, 110.0), (114.167281812466, 22.3210363223491, 110.0), (114.167466983736, 22.3210639208709, 0.0)]"
path 15,"[(114.170399552792, 22.3183900686961, 0.0), (114.170269932902, 22.3184912632758, 110.0), (114.170038468814, 22.3184912632758, 105.0), (114.169594057766, 22.3185280613048, 95.0), (114.169584799202, 22.3185372608121, 95.0), (114.169082768264, 22.3204871524069, 90.0), (114.169054992573, 22.3206159455084, 90.0), (114.168980924065, 22.3207263395954, 90.0), (114.168971665502, 22.3207355391026, 90.0), (114.168934631248, 22.3207355391026, 90.0), (114.165513426834, 22.3200887731024, 95.0), (114.165356031254, 22.3200795735952, 100.0), (114.165300479873, 22.3200795735952, 100.0), (114.165272704182, 22.320070374088, 100.0), (114.165244928492, 22.3200611745807, 100.0), (114.165226411365, 22.3200519750735, 100.0), (114.165189377111, 22.3200151770445, 100.0), (114.1646338633, 22.3195092041457, 100.0), (114.164596829046, 22.3194724061168, 110.0), (114.164782000316, 22.3195000046385, 0.0)]"
path 16,"[(114.163750000147, 22.3169, 0.0), (114.163587414365, 22.3167436083768, 110.0), (114.163605931492, 22.3170287931015, 100.0), (114.163698517127, 22.3180280834786, 100.0), (114.163707775691, 22.3180372829859, 100.0), (114.165050498658, 22.3187640440586, 90.0), (114.165059757222, 22.3187732435658, 90.0), (114.165226411365, 22.3200243765517, 90.0), (114.165356031254, 22.3202267657112, 95.0), (114.165328255564, 22.3203739578272, 95.0), (114.164226486505, 22.3215330957406, 110.0), (114.163985763853, 22.3215790932768, 110.0), (114.163856143964, 22.3214778986971, 0.0)]"
